Unnamed: 0,Season,Game_ID,PLAYER_NAME,Team,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
9246,2018,21700586,Bam Adebayo,MIA,"JAN 07, 2018",MIA vs. UTA,W,7,1,1.0,1.0,0.0,0.0,0.0,2,3.0,0.667,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,4,-2.0,1
9245,2018,21700599,Bam Adebayo,MIA,"JAN 09, 2018",MIA @ TOR,W,33,8,14.0,0.571,0.0,1.0,0.0,0,0.0,0.0,5.0,10.0,15.0,3.0,0.0,5.0,0.0,3.0,16,9.0,1
9244,2018,21700604,Bam Adebayo,MIA,"JAN 10, 2018",MIA @ IND,W,31,4,9.0,0.444,0.0,1.0,0.0,7,9.0,0.778,0.0,2.0,2.0,5.0,1.0,0.0,1.0,2.0,15,-9.0,1
9243,2018,21700634,Bam Adebayo,MIA,"JAN 14, 2018",MIA vs. MIL,W,28,2,6.0,0.333,0.0,0.0,0.0,2,2.0,1.0,0.0,4.0,4.0,6.0,0.0,0.0,1.0,4.0,6,10.0,1
9242,2018,21700644,Bam Adebayo,MIA,"JAN 15, 2018",MIA @ CHI,L,19,2,5.0,0.4,0.0,1.0,0.0,2,2.0,1.0,2.0,3.0,5.0,0.0,1.0,0.0,1.0,1.0,6,10.0,1
9241,2018,21700659,Bam Adebayo,MIA,"JAN 17, 2018",MIA @ MIL,W,19,2,6.0,0.333,0.0,0.0,0.0,0,0.0,0.0,3.0,3.0,6.0,5.0,1.0,0.0,2.0,4.0,4,-2.0,1
9240,2018,21700668,Bam Adebayo,MIA,"JAN 19, 2018",MIA @ BKN,L,14,3,5.0,0.6,0.0,0.0,0.0,3,4.0,0.75,1.0,2.0,3.0,2.0,0.0,0.0,1.0,3.0,9,0.0,1
9239,2018,21700676,Bam Adebayo,MIA,"JAN 20, 2018",MIA @ CHA,W,24,3,4.0,0.75,0.0,0.0,0.0,0,0.0,0.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0,1.0,6,8.0,1
9238,2018,21700689,Bam Adebayo,MIA,"JAN 22, 2018",MIA @ HOU,L,17,3,4.0,0.75,0.0,0.0,0.0,1,2.0,0.5,1.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,7,-1.0,1
9224,2018,21700909,Bam Adebayo,MIA,"FEB 27, 2018",MIA vs. PHI,W,7,0,2.0,0.0,0.0,0.0,0.0,1,2.0,0.5,1.0,3.0,4.0,0.0,0.0,2.0,1.0,0.0,1,-17.0,1
9217,2018,21701018,Bam Adebayo,MIA,"MAR 14, 2018",MIA @ SAC,L,27,2,9.0,0.222,0.0,0.0,0.0,2,2.0,1.0,4.0,12.0,16.0,3.0,0.0,0.0,0.0,3.0,6,-9.0,1
9192,2018,21800217,Bam Adebayo,MIA,"NOV 16, 2018",MIA @ IND,L,19,3,7.0,0.429,0.0,0.0,0.0,2,3.0,0.667,0.0,6.0,6.0,3.0,2.0,2.0,1.0,1.0,8,-11.0,1
9191,2018,21800235,Bam Adebayo,MIA,"NOV 18, 2018",MIA vs. LAL,L,17,1,4.0,0.25,0.0,0.0,0.0,1,2.0,0.5,2.0,6.0,8.0,3.0,0.0,1.0,2.0,0.0,3,-3.0,1
9190,2018,21800250,Bam Adebayo,MIA,"NOV 20, 2018",MIA vs. BKN,L,16,3,6.0,0.5,0.0,0.0,0.0,0,0.0,0.0,2.0,6.0,8.0,0.0,1.0,1.0,1.0,2.0,6,-2.0,1
9189,2018,21800273,Bam Adebayo,MIA,"NOV 23, 2018",MIA @ CHI,W,26,3,8.0,0.375,0.0,0.0,0.0,8,10.0,0.8,5.0,8.0,13.0,2.0,0.0,1.0,2.0,4.0,14,1.0,1
9188,2018,21800290,Bam Adebayo,MIA,"NOV 25, 2018",MIA @ TOR,L,36,4,10.0,0.4,0.0,1.0,0.0,8,12.0,0.667,4.0,17.0,21.0,1.0,1.0,2.0,1.0,0.0,16,1.0,1
9187,2018,21800302,Bam Adebayo,MIA,"NOV 27, 2018",MIA vs. ATL,L,14,4,4.0,1.0,0.0,0.0,0.0,4,6.0,0.667,3.0,1.0,4.0,1.0,2.0,0.0,3.0,5.0,12,-8.0,1
9186,2018,21800324,Bam Adebayo,MIA,"NOV 30, 2018",MIA vs. NOP,W,28,4,5.0,0.8,0.0,0.0,0.0,0,0.0,0.0,4.0,7.0,11.0,3.0,0.0,1.0,1.0,2.0,8,13.0,1
9185,2018,21800339,Bam Adebayo,MIA,"DEC 02, 2018",MIA vs. UTA,W,14,1,2.0,0.5,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,2,10.0,1
9222,2018,21700952,Bam Adebayo,MIA,"MAR 05, 2018",MIA vs. PHX,W,5,0,0.0,0.0,0.0,0.0,0.0,2,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2,-6.0,1
9197,2018,21800156,Bam Adebayo,MIA,"NOV 07, 2018",MIA vs. SAS,W,12,0,1.0,0.0,0.0,0.0,0.0,2,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,3.0,2,8.0,1
9198,2018,21800140,Bam Adebayo,MIA,"NOV 05, 2018",MIA @ DET,W,29,4,5.0,0.8,0.0,0.0,0.0,3,4.0,0.75,3.0,5.0,8.0,1.0,3.0,1.0,0.0,3.0,11,0.0,1
9199,2018,21800128,Bam Adebayo,MIA,"NOV 03, 2018",MIA @ ATL,L,31,1,2.0,0.5,0.0,0.0,0.0,0,0.0,0.0,3.0,4.0,7.0,2.0,1.0,2.0,2.0,4.0,2,11.0,1
9200,2018,21800096,Bam Adebayo,MIA,"OCT 30, 2018",MIA @ CHA,L,15,4,5.0,0.8,0.0,0.0,0.0,0,0.0,0.0,2.0,4.0,6.0,2.0,0.0,0.0,0.0,3.0,8,0.0,1
9201,2018,21800089,Bam Adebayo,MIA,"OCT 29, 2018",MIA vs. SAC,L,19,2,4.0,0.5,0.0,0.0,0.0,4,6.0,0.667,1.0,7.0,8.0,0.0,1.0,0.0,2.0,0.0,8,-6.0,1
9193,2018,21800205,Bam Adebayo,MIA,"NOV 14, 2018",MIA @ BKN,W,10,6,6.0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,5.0,12,3.0,1
9194,2018,21800191,Bam Adebayo,MIA,"NOV 12, 2018",MIA vs. PHI,L,19,3,6.0,0.5,0.0,0.0,0.0,2,4.0,0.5,1.0,3.0,4.0,2.0,0.0,1.0,2.0,3.0,8,1.0,1
9195,2018,21800177,Bam Adebayo,MIA,"NOV 10, 2018",MIA vs. WAS,L,13,3,4.0,0.75,0.0,0.0,0.0,2,3.0,0.667,2.0,3.0,5.0,0.0,0.0,0.0,0.0,4.0,8,6.0,1
9207,2018,21701221,Bam Adebayo,MIA,"APR 11, 2018",MIA vs. TOR,W,18,4,4.0,1.0,0.0,0.0,0.0,2,2.0,1.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,10,16.0,1
9216,2018,21701034,Bam Adebayo,MIA,"MAR 16, 2018",MIA @ LAL,W,35,5,10.0,0.5,0.0,0.0,0.0,1,3.0,0.333,5.0,3.0,8.0,2.0,0.0,0.0,0.0,3.0,11,0.0,1
9215,2018,21701054,Bam Adebayo,MIA,"MAR 19, 2018",MIA vs. DEN,W,27,3,9.0,0.333,0.0,0.0,0.0,1,6.0,0.167,4.0,4.0,8.0,3.0,0.0,0.0,2.0,2.0,7,-17.0,1
9214,2018,21701068,Bam Adebayo,MIA,"MAR 21, 2018",MIA vs. NYK,W,13,3,4.0,0.75,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,6,-8.0,1
9213,2018,21701084,Bam Adebayo,MIA,"MAR 23, 2018",MIA @ OKC,L,21,0,5.0,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,5.0,7.0,1.0,0.0,0.0,1.0,1.0,0,-6.0,1
9211,2018,21701125,Bam Adebayo,MIA,"MAR 29, 2018",MIA vs. CHI,W,12,1,2.0,0.5,0.0,0.0,0.0,1,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3,10.0,1
9210,2018,21701172,Bam Adebayo,MIA,"APR 04, 2018",MIA @ ATL,W,20,1,6.0,0.167,0.0,0.0,0.0,2,2.0,1.0,2.0,8.0,10.0,2.0,3.0,1.0,3.0,1.0,4,26.0,1
9209,2018,21701186,Bam Adebayo,MIA,"APR 06, 2018",MIA @ NYK,L,12,2,4.0,0.5,0.0,0.0,0.0,0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,2.0,1.0,4,-2.0,1
9208,2018,21701206,Bam Adebayo,MIA,"APR 09, 2018",MIA vs. OKC,L,13,1,3.0,0.333,0.0,0.0,0.0,4,4.0,1.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,6,0.0,1
9206,2018,21800006,Bam Adebayo,MIA,"OCT 17, 2018",MIA @ ORL,L,22,4,9.0,0.444,0.0,1.0,0.0,1,2.0,0.5,2.0,6.0,8.0,2.0,1.0,0.0,1.0,3.0,9,-6.0,1
9196,2018,21800170,Bam Adebayo,MIA,"NOV 09, 2018",MIA vs. IND,L,7,1,1.0,1.0,0.0,0.0,0.0,1,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3,2.0,1
9205,2018,21800015,Bam Adebayo,MIA,"OCT 18, 2018",MIA @ WAS,W,17,1,4.0,0.25,0.0,0.0,0.0,2,4.0,0.5,3.0,6.0,9.0,0.0,0.0,0.0,3.0,2.0,4,4.0,1
9204,2018,21800030,Bam Adebayo,MIA,"OCT 20, 2018",MIA vs. CHA,L,15,3,6.0,0.5,0.0,0.0,0.0,6,6.0,1.0,2.0,4.0,6.0,0.0,0.0,2.0,1.0,3.0,12,-6.0,1
9203,2018,21800054,Bam Adebayo,MIA,"OCT 24, 2018",MIA vs. NYK,W,21,1,3.0,0.333,0.0,1.0,0.0,2,4.0,0.5,1.0,3.0,4.0,3.0,1.0,0.0,1.0,3.0,4,-7.0,1
9202,2018,21800079,Bam Adebayo,MIA,"OCT 27, 2018",MIA vs. POR,W,14,3,6.0,0.5,0.0,0.0,0.0,1,1.0,1.0,4.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,7,5.0,1
9212,2018,21701096,Bam Adebayo,MIA,"MAR 25, 2018",MIA @ IND,L,21,5,7.0,0.714,0.0,0.0,0.0,4,4.0,1.0,2.0,3.0,5.0,0.0,0.0,1.0,3.0,5.0,14,-2.0,1
9223,2018,21700922,Bam Adebayo,MIA,"MAR 01, 2018",MIA vs. LAL,L,30,6,7.0,0.857,0.0,0.0,0.0,3,4.0,0.75,4.0,6.0,10.0,1.0,0.0,2.0,1.0,1.0,15,5.0,1
9221,2018,21700959,Bam Adebayo,MIA,"MAR 06, 2018",MIA @ WAS,L,4,0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0,-1.0,1
9220,2018,21700973,Bam Adebayo,MIA,"MAR 08, 2018",MIA vs. PHI,W,14,1,5.0,0.2,0.0,1.0,0.0,0,0.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,2.0,2,9.0,1
9219,2018,21700988,Bam Adebayo,MIA,"MAR 10, 2018",MIA vs. WAS,W,18,3,5.0,0.6,0.0,0.0,0.0,0,2.0,0.0,2.0,6.0,8.0,1.0,0.0,0.0,2.0,4.0,6,19.0,1
9218,2018,21701004,Bam Adebayo,MIA,"MAR 12, 2018",MIA @ POR,L,25,1,10.0,0.1,0.0,0.0,0.0,2,2.0,1.0,4.0,5.0,9.0,3.0,1.0,1.0,3.0,4.0,4,-8.0,1
